materials,heights,maxForces,weight,cost
Mild steel,0.0211967966589665,5241882.2003517,330.670027879878,9.92010083639634
Al alloy,0.030571070873288,6230602.49559731,158.969568541098,20.6660439103427
PVC,0.0873580464736299,12719047.1394815,262.07413942089,26.207413942089
Glass,0.030571070873288,1557650.62389933,152.85535436644,13.7569818929796
GFRP,0.0535832289837124,17226974.5699258,160.749686951137,27.3274467816933
Chipboard,0.10172447681911,4139147.67364867,142.414267546754,8.54485605280525
Pine,0.05,3750000,50,1
